,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,14.0,2,0.7499999531250029,0.04134366914381481,10.838709677419354,0.48214285714285715,4.5283410138248845,10.838709677419354,162.0,333.0,2.6452599388379205,2.0,6.873873873873874
1,blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,65.0,32,0.3402061820597301,0.08508771922360725,11.845238095238095,0.5688442211055277,4.965632926537449,11.845238095238095,566.0,995.0,2.775489186405767,4.0,7.295477386934674
2,blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,46.0,25,0.2957746437214839,0.07489451468892984,13.39344262295082,0.620563035495716,5.605602263378614,13.39344262295082,507.0,817.0,2.9987562189054726,14.0,8.004895960832313
3,blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,46.0,76,-0.24590163732867512,0.12978723390448166,14.589285714285714,0.5924112607099143,6.0726787899982515,14.589285714285714,484.0,816.0,2.89625,5.0,7.779411764705882
4,blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,29.0,9,0.5263157756232691,0.061093247490203784,12.444444444444445,0.5142857142857142,5.183492063492064,12.444444444444445,288.0,560.0,2.7441016333938295,7.0,7.360714285714286
5,blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,95.0,28,0.5447154427258907,0.08227424743660584,13.652631578947368,0.599845797995374,5.700990950777097,13.652631578947368,778.0,1294.0,2.8998422712933754,7.0,7.795208655332303
6,blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,32.0,45,-0.1688311666385563,0.09884467253036627,11.0,0.5165945165945166,4.606637806637806,11.0,358.0,693.0,2.639586410635155,2.0,7.105339105339105
7,blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,38.0,10,0.5833333211805558,0.0617760616965559,12.596153846153847,0.6320610687022901,5.291285965942455,12.596153846153847,414.0,654.0,3.154589371980676,4.0,7.943425076452599
8,blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,46.0,51,-0.051546391221171224,0.10566448790232627,12.596774193548388,0.6120358514724712,5.283524018008344,12.596774193548388,478.0,780.0,2.958005249343832,3.0,7.901282051282052
9,blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,68.0,69,-0.007299270019713358,0.12875939837522613,10.919540229885058,0.5778947368421052,4.598973986690865,10.919540229885058,549.0,946.0,2.8185745140388767,9.0,7.681818181818182
10,blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,68.0,20,0.5454545392561985,0.07843137247911641,13.791666666666666,0.6092648539778449,5.760372608257804,13.791666666666666,605.0,992.0,2.9244306418219463,3.0,7.682459677419355
11,blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,88.0,25,0.5575221189599813,0.09362054673270874,12.820224719101123,0.5950920245398773,5.366126697456401,12.820224719101123,679.0,1140.0,2.9381625441696113,3.0,7.454385964912281
12,blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,46.0,14,0.5333333244444446,0.11811023598797198,16.551724137931036,0.6166666666666667,6.867356321839082,16.551724137931036,296.0,479.0,2.9936170212765956,4.0,7.624217118997913
13,blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,29.0,28,0.017543859341335802,0.06705882345051903,9.961538461538462,0.5276705276705277,4.1956835956835965,9.961538461538462,410.0,775.0,2.6943699731903483,4.0,7.099354838709678
14,blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,42.0,28,0.19999999714285718,0.07322175724558394,14.285714285714286,0.5388888888888889,5.929841269841271,14.285714285714286,485.0,897.0,2.712344280860702,7.0,7.222965440356745
15,blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,42.0,28,0.19999999714285718,0.07322175724558394,14.285714285714286,0.5388888888888889,5.929841269841271,14.285714285714286,485.0,897.0,2.712344280860702,7.0,7.222965440356745
16,blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,51.0,13,0.5937499907226564,0.07174887884333085,11.666666666666666,0.5304347826086957,4.878840579710145,11.666666666666666,427.0,804.0,2.7455242966751916,6.0,7.266169154228856
17,blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,41.0,11,0.5769230658284026,0.05855855849261424,14.518518518518519,0.5892857142857143,6.043121693121694,14.518518518518519,462.0,781.0,2.8414154652686765,2.0,7.414852752880922
18,blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,67.0,7,0.8108107998539081,0.061106523483809634,10.92,0.5439560439560439,4.585582417582418,10.92,594.0,1084.0,2.698706099815157,5.0,7.296125461254612
19,blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,16.0,1,0.8823528892733594,0.038636363548553716,13.89655172413793,0.5136476426799007,5.764079746727133,13.89655172413793,207.0,403.0,2.7092731829573933,2.0,7.163771712158809
20,blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,30.0,48,-0.23076922781065093,0.09274672997295276,13.836363636363636,0.5847568988173456,5.768448214072393,13.836363636363636,445.0,758.0,2.779840848806366,7.0,7.410290237467018
21,blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,20.0,11,0.29032257127991706,0.07788944704047877,10.878787878787879,0.5125348189415042,4.556529079091753,10.878787878787879,184.0,357.0,2.7429378531073447,5.0,7.285714285714286
22,blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,38.0,16,0.4074073998628259,0.05427135672937552,13.514705882352942,0.5016322089227421,5.6065352365102745,13.514705882352942,461.0,916.0,2.6561443066516346,8.0,6.888646288209607
23,blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,31.0,4,0.7714285493877557,0.06469500912256006,17.107142857142858,0.5490605427974948,7.062481359976141,17.107142857142858,263.0,478.0,2.7663755458515285,2.0,7.135983263598327
24,blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,27.0,12,0.384615374753452,0.049056603711878484,16.84090909090909,0.4156545209176788,6.902625444730709,16.84090909090909,308.0,741.0,2.4702549575070822,5.0,6.483130904183536
